id,cluster_id,cluster_name,distance_from_centroid
321,0,High-Quality Compounders,0.550938884980047
1058,0,High-Quality Compounders,0.07153666056732509
876,0,High-Quality Compounders,0.5166602814122785
877,0,High-Quality Compounders,0.5166602814122785
567,0,High-Quality Compounders,0.3766622845774206
878,0,High-Quality Compounders,0.5166602814122785
1106,0,High-Quality Compounders,0.15985254148743552
1070,0,High-Quality Compounders,0.1831961824144902
1046,0,High-Quality Compounders,0.0733897501384706
879,0,High-Quality Compounders,0.5166602814122785
684,0,High-Quality Compounders,0.8044863348438762
591,0,High-Quality Compounders,0.18450166712502436
875,0,High-Quality Compounders,0.5166602814122785
771,0,High-Quality Compounders,0.18448880246281565
963,0,High-Quality Compounders,0.18599534990452415
646,0,High-Quality Compounders,0.09668862998863757
747,0,High-Quality Compounders,0.1855756795448128
237,0,High-Quality Compounders,3.96893256550113
920,0,High-Quality Compounders,0.05371364234793289
496,0,High-Quality Compounders,0.27102490799867096
921,0,High-Quality Compounders,0.05371364234793289
213,0,High-Quality Compounders,1.9680598002760425
986,0,High-Quality Compounders,0.29674673191053264
603,0,High-Quality Compounders,0.14199463966547188
819,0,High-Quality Compounders,0.14812824749585038
273,0,High-Quality Compounders,0.10657605928731234
1088,0,High-Quality Compounders,0.17575960873424795
613,0,High-Quality Compounders,0.1847987403553114
759,0,High-Quality Compounders,0.10637942626747349
345,0,High-Quality Compounders,0.17210423957604595
484,3,Distressed or Turnaround,1.0574095138453385
285,0,High-Quality Compounders,0.17902272653674928
40,0,High-Quality Compounders,0.10634514030896931
225,0,High-Quality Compounders,0.08133991239852556
807,0,High-Quality Compounders,0.09768002257604833
1166,0,High-Quality Compounders,1.2451537326714357
417,0,High-Quality Compounders,0.1804443864410766
974,0,High-Quality Compounders,0.15769082657976607
472,0,High-Quality Compounders,0.183462581498428
405,0,High-Quality Compounders,0.18224363223122733
381,0,High-Quality Compounders,0.17894004357152812
951,0,High-Quality Compounders,0.12686955482636067
